,user_id,user_screen_name,user_name,words,personality_type
0,1349608913205772294,_kikiyay,Yaya,"['kkkk', 'istp', 'like', 'total', 'opposite', 'infj', 'thinking', 'target', 'audience', 'korean', 'believe', 'mbti', 'system']",INFJ
1,1462148699547656192,TheHalleysystem,Lucifer's child,"['hi', 'finding', 'friend', 'black', 'heart', 'name', 'takeshi', 'ringed', 'planet', 'hehim', 'infj', '22', 'pisces', 'pisces', 'ar', '24', 'genshin', 'death']",INFJ
2,2886723798,zeandipity,zea.,"['see', 'wjsn', 'click', 'hello', 'dari', 'infj', 'waving', 'handsneezing', 'face']",INFJ
3,1506706636466970632,TakeshiKovac69,Takeshi Kovac,"['hi', 'finding', 'friend', 'black', 'heart', 'name', 'takeshi', 'ringed', 'planet', 'hehim', 'infj', '22', 'pisces', 'pisces', 'ar', '24', 'genshin', 'death']",INFJ
4,1506706636466970632,TakeshiKovac69,Takeshi Kovac,"['hi', 'finding', 'friend', 'black', 'heart', 'name', 'takeshi', 'ringed', 'planet', 'hehim', 'infj', '22', 'pisces', 'pisces', 'ar', '24', 'genshin']",INFJ
5,1490071764839370753,ESCAttitude,Eurovision with Kristina,"['bestie', 'im', 'also', 'infj', 'lavender', 'hibiscusrose']",INFJ
6,1217659017306075136,tyunslullaby,•⁵아라⁷• 🌙🕊️,"['one', 'thing', 'infj', 'know', 'somehow', 'always', 'know', 'supposed', 'known', 'making']",INFJ
7,3181154820,gureum516,☁️ odorable 🎶 feeling wonderful 🥰,"['fun', 'fact', 'know', 'jaehyun', 'extrovert', 'unit', 'esfp', 'doyoung', 'jungwoo', 'isfj']",INFJ
8,41188903,minordissent,Max 58K,"['infj', 'share', 'good', 'infp', 'usual']",INFJ
9,1188906293257478145,viinterchild,miki⁷🌻,"['sunflower', 'infj', 'rose', 'sunflower']",INFJ
10,41188903,minordissent,Max 58K,"['isfj', 'often', 'like', 'concept', 'amp', 'learning', 'see', 'concept', 'actio']",INFJ
11,1400710388795146240,BowTiedDoe,BowTiedDoe,"['yeah', 'bos', 'prob', 'infj', 'futureoriented', 'high', 'stimulation', 'h']",INFJ
12,41188903,minordissent,Max 58K,"['isfj', 'see', 'tree', 'infj', 'see', 'forest']",INFJ
13,41188903,minordissent,Max 58K,"['isfj', 'probably', 'depression', 'anxiety', 'temperamentally', 'ar']",INFJ
14,41188903,minordissent,Max 58K,"['infj', 'painfully', 'creative', 'cant', 'stop', 'isfj', 'creativ']",INFJ
15,41188903,minordissent,Max 58K,"['precise', '90', 'time', 'infj', 'trying', 'predict', 'plan', 'futu']",INFJ
16,41188903,minordissent,Max 58K,"['infj', 'future', 'focused', 'system', 'oriented', 'isfj', 'past', 'focused', 'rout']",INFJ
17,3305536822,xjskdnsl,sel,"['habahqah', 'mean', 'def', '4', 'fun', 'feel', 'like', 'still', 'accurate', 'people', 'ppl']",INFJ
18,1541094986321641472,Primadoxxna,➷ lesbian president vix➷,"['noyoure', 'infj', 'cognitive', 'stack', 'isnt', 'nifetiseyoure', 'infj', 'idc', '16', 'personality', 'tell']",INFJ
